Date/Time:  26.aug  18:36			
Temp  19.9					
Channelnumber  Centrod1	 Centroid2  Centroid3  Centroid4 Resolution 1332keVpeak
0	302.96	886.26	2985.18	3385.057 2.16
1	338.43	983.91	3320.91	3765.73	2.28
2	296.09	878.25	2970.09	3366.23	2.17
3	283.82	842.12	2859.04	3242.67	2.16
4	NAN	384.88	1326.92	1504.04	2.5
5	261.92	788.11	2656.01	3013.68	2.14
6	250.71	763.21	2602	2950.01	2.3
7	246.06	748.34	2527.91	2864.76	2.08
8	240.71	737.17	2512.07	2849.6	2.18
9	263.32	784.11	2645.74	2999.91	2.18
10	262.05	771.83	2605.1	2953.13	2.12
11	282.31	832.81	2820.46	3200.37	2.11
12	258.39	756.94	2552.9	2892.74	2.06
13	257.4	770.87	2606.08	2956.28	NAN
14	279.27	804.51	2720.08	3083.51	2.21
15					
16	286.17	840.3	2850.28	3232.07	2.16
17	262.58	780.95	2643.15	2998.69	2.2
18	203.6	638.42	2173.21	2464.71	2.07
19	266.61	787.64	2682.03	3042.37	2.16
20	NAN	801.59	2725.89	3092.46	2.14
21	255.58	776.13	2636.61	2990.02	2.11
22	264.81	776.87	2635.49	2989.23	2.11
23	NAN	448	1519.93	1724.35	2.3
24	264.23	783.97	2672.3	3032.2	2.13
25	NAN	666.47	2246.04	2547.31	2.2
26	NAN	445.5	1520.16	1724.7	2.4
27	253.79	752.42	2560.03	2903.62	2.09
28	253.85	749.99	2528.27	2865.71	2.13
29
30
