Date/Time:  30.aug  08:30			
Temp  20.2					
Channelnumber  Centrod1	 Centroid2  Centroid3  Centroid4 Resolution 1332keVpeak
0	296.289 880.504	2965.105 3358.596 3.02
1	337.85	982.83	3306.18	3748.69	2.28
2	295.34	877.86	2967.69	3363.04	2.18
3	NAN	828.68	2808.2	3184.4	2.11
4	NAN	394.02	1330.92	1507.5	2.5
5	259.81	783.31	2652.85	3007.7	2.09
6	249.98	760.82	2584.97	2929.57	2.16
7	245.93	749.71	2534.5	2870.61	2.2
8	237.23	730.37	2487.49	2820.18	2.15
9	255.39	779.21	2641.25	2993.14	2.12
10	253.71	759.39	2579.68	2924.48	2.1
11	278.71	827.08	2795.23	3171.03	2.08
12	244.67	742.22	2503.98	2837.27	2.03
13	253.06	762.52	2565.07	2908.2	2.16
14	268.94	798.38	2722.98	3088.22	2.19
15					
16	283.65	830.01	2809.79	3185.87	2.19
17	262.15	778.26	2640.53	2992.77	2.15
18	205.26	639.22	2178.17	2470.73	2.06
19	259.73	771.35	2627.5	2974.4	NAN
20	269.23	798.85	2719.85	3085.49	2.15
21	254.3	774.92	2633.52	2986.45	2.18
22	261.15	775.02	2632.17	2985.47	2.08
23	NAN	NAN	1521.95	1727.5	2.3
24	263.12	783.46	2667.39	3026.45	2.11
25	209.76	663.22	2236.05	2535.5	2.2
26	121.98	NAN	1505.76	1708.5	2.4
27	248.57	438.2	2556.02	2898.69	2.1
28	240.77	742.28	2522.5	2860.98	2.2
29					
30					

