Date/Time:  26.aug  10:48			
Temp  20.2					
Channelnumber  Centrod1	 Centroid2  Centroid3  Centroid4 Resolution 1332keVpeak
0	301.436728  883.101666 2977.182557  3384.69  2.2
1	338.94	982.95	3313.24	3756.22	2.25
2	295.99	878.39	2968.31	3363.76	2.13
3	NAN	841.21	2854.69	3237.28	2.13
4	NAN	392.31	1344.59	1523.84	2.8
5	266.61	790.22	2666.44	3021.83	2.11
6	NAN	760.12	2595.01	2941.55	2.17
7	244.16	746.14	2530.6	2856.86	2.1
8	243.44	741.73	2525.47	2865.47	2.2
9	260.86	780.42	2643.49	2993.22	2.2
10	261.02	769.59	2598.58	2945.77	2.1
11	282.88	829.92	2815.87	3194.37	2.08
12	257.23	754.75	2547.58	3049.04	2.1
13	256.74	769.37	2597.95	2945.06	2.18
14	279.87	809.75	2740.1	3106.49	2.2
15					
16	NAN	832.6	2813.34	3190.12	2.15
17	269.04	792.68	2686.77	3045.87	2.15
18	204.14	639.1	2171.01	2462.43	2.11
19	261.91	775.95	2635.7	2989.5	2.08
20	271.95	808.54	2748.31	3117.78	2.19
21	259.38	783.97	2659.23	3015.97	2.17
22	NAN	773.94	2627.95	2980.86	2.08
23	NAN	445.95	1520.63	1725.96	2.3
24	264.57	789.67	2668.65	3047.73	2.2
25	221.247	678.96	2293.58	2590.33	2.2
26	NAN	445.62	1521.87	1730.42	2.4
27	252.48	748.69	2552.9	2895.2	2.14
28	250.23	745.07	2521.07	2857.88	2.15
29
30
