Date/Time:  30.aug  16:42			
Temp  20.2					
Channelnumber  Centrod1	 Centroid2  Centroid3  Centroid4 Resolution 1332keVpeak
0	295.68	884.74	2977.95	3373.596 2.99
1	344.31	996.62	3366.22	3817.42	2.26
2	293.31	872.65	2949.1	3342.33	2.14
3	282.98	842.32	2856.28	3238.68	2.16
4	NAN	NAN	1329.23	1505.5	2.5
5	262.2	786.72	2655.57	3010.17	2.09
6	249.86	761.23	2598.57	2945.56	2.17
7	247.12	751.44	2540.09	2878.65	2.1
8	242.7	740.64	2528.25	2867.53	2.26
9	261.39	781.74	2640.61	2993.76	2.13
10	261.42	770.48	2600.61	2948.41	2.12
11	290.61	846.67	2871.6	3258.73	2.09
12	256.64	754.71	2547.47	2887.01	2.08
13	257.15	768.76	2593.58	2939.79	2.18
14	279.14	807.33	2727.5	3095.25	2.3
15					
16	288.68	846.58	2861.49	3244.41	2.2
17	268.67	793.7	2689.34	3048.56	2.18
18	203.72	637.134	2162.93	2452.67	2.1
19	262.19	776.77	2637.8	2992.37	2.12
20	270.62	801.12	2721.85	3087.94	2.13
21	255.97	777.08	2633.44	2986.5	2.18
22	265.52	786.25	2675.5	3037.31	2.1
23	120.66	448.14	1521.61	1727.5	2.3
24	268.51	789.84	2684.13	3045.03	2.13
25	NAN	664.912	2246.81	2547.5	2.2
26	NAN	449.05	1528.63	1730.5	2.5
27	253.83	752.93	2557.07	2900.04	2.09
28	243.6	740.28	2518.77	2856.01	2.18
29					
30					

