Date/Time:  29.aug  18:20			
Temp  19.8					
Channelnumber  Centrod1	 Centroid2  Centroid3  Centroid4 Resolution 1332keVpeak
1	294.6	880.78	2967.84 3363.094 2.75
2	336.93	982.85	3306.45	3749.54	2.27
3	296.13	879.37	2973.2	3369.33	2.17
4	278.32	829.69	2812.3	3188.77	2.16
5	NAN	395.85	1339.5	1516.5	2.5
6	260.42	784.74	2656.97	3012.28	2.1
7	250.26	761.71	2587.99	2932.84	2.16
8	246.86	751.44	2539.49	2877.45	2.09
9	237.78	730.81	2489.57	2822.78	2.17
10	256.25	780.21	2644.87	2997.32	2.19
11	253.73	759.39	2577.5	2926.3	2.2
12	277.45	824.4	2787.11	3161.98	2.11
13	247.69	745.88	2514.05	2848.4	2.07
14	253.75	763.63	2565.5	2914.22	NAN
15	270.25	800.5	2729.27	3095.27	2.2
16					
17	283.28	828.93	2805.27	3180.9	2.19
18	NAN	777.73	2638.42	2990.16	2.17
19	205.11	639.25	2175.76	2467.52	2.03
20	260.03	772.11	2625.33	2977.84	2.13
21	269	797.79	2715.84	3081.03	2.16
22	254.3	774.84	2634.46	2987.78	2.17
23	260.82	774	2629.5	2984.79	2.1
24	NAN	447.65	1523.58	1727.5	2.3
25	262.47	780.43	2658.57	3016.93	2.11
26	NAN	666.224	2246.13	2547.5	2.2
27	NAN	NAN	1506.36	1707.5	2.4
28	249.93	751.14	2564.26	2907.9	2.14
29	242.32	744.36	2524.5	2864.5	2.3
30					
31					

