Date/Time:  20.jun  16:04			
Temp	NAN				
Channelnumber  Centrod1	 Centroid2  Centroid3  Centroid4 Resolution 1332keVpeak
0	298.42	875.20	2950.86	3345.65	2.20
1	335.8	976.84	3295.29	3736.52	2.29
2	296.82	880.93	2975.56	3374.6	2.12
3	282.12	837.54	2841.75	3222.54	2.14
4	91.85	377.2	1291.75	1461.76	2.50
5	267.45	785.42	2649.07	3002.23	2.09
6	249.92	755.91	2577.99	2922.38	2.16
7	244.58	744.46	2514.42	2849.5	2.13
8	236.63	738.69	2507.09	2853.96	2.30
9	259.69	777.45	2626.66	2978.54	2.30
10	259.33	765.62	2584.85	2930.43	2.12
11	287.81	836.03	2840.86	3223.59	2.07
12	247.64	749.03	2535.29	2873.51	2.07
13	254.14	764	2582.3	2927.6	2.17
14	271.26	800.16	2713.21	3076.67	2.19
15					
16	285.84	835.85	3054.33	3205.34	2.20
17	259.57	773.18	2618.83	2967.48	2.15
18	201.96	635.15	2157.06	2445.57	2.20
19	258.3	767.08	2605.15	2954.96	2.13
20	266.72	790.4	2685.98	3047.05	2.16
21	256.22	778.05	2639.82	2994.30	2.16
22	258.53	768.24	2608.3	2958.55	2.10
23	114.53	445.27	1507.39	1710.63	2.3
24	262.39	782.87	2660.33	3016.42	2.07
25	208.36	663.243	2268.8	2573	2.2
26	115.56	446.56	1522.53	1730.11	2.4
27	247.95	741.94	2528.4	2867.83	2.10
28	250.36	745.92	2514.2	2849.45	2.17
29	132.905	257	927	1052.16	2.2
30	106.075	417.6	1420.09	1614.63	2.9
