Date/Time:  19.jun  16:48			
Temp	NAN				
Channelnumber  Centrod1	 Centroid2  Centroid3  Centroid4 Resolution 1332keVpeak
0 298.73143 875.761701 2951.518857 3346.711314 2.18
1 342.52 990.4	3344.33	3792 2.27
2 291.18 866.19	2926.96	3316.7 2.12
3 281.86 836.35	2841.58	3222.64	2.12
4 89.9925 373.951 1292.02 1464.42 2.30
5 263.76 785.48	2646.5 3000.88 2.20
6 247.09 754.94	2577.98	2922.32	2.19
7 245.058 744.93 2515.27 2850.42 2.09
8 245.63 738.95	2517.73	2855.63	2.30
9 258.12 773.76	2614.32	2963.35	2..21
10  259.49 766.11 2585.74 2931.51 2.11
11  277.943518 824.584292 2787.367829 3162.670476 2.10
12  256.24 753  2540.94	2879.28	2.06
13  254.09 764.19 2583.36 2928.59 2.17
14  274.08 803.98 2716.7	3080.49	2.15
15					
16  279.58 822.65 2775.85 3151.36 2.21
17  259.32 773.55 2619.52 2968.3	2.16
18  204.536 640.335 2175.82 2467.97 2.20
19  258.43 767.43 2606.07 2955.86 2.10
20  270.92 798.51 2714.91 3080.01 2.18
21  252.676264 769.947118 2612.279856 2962.798004 2.21
22  258.57 768.21 2608.62 2958.8	2.08
23  114.328 444.81 1507.01 1709.14 2.30
24  266.25 785.32 2660	3018.1	2.09
25  215.022 675.283 2270.88 2576.43 2.2
26  118.011 448.339 1525.61 1728.01 2.4
27  251.13 745.03 2530.43 2870.05 2.08
28  251.31 747.13 2516.06 2851.66 2.18
29  127.98 259.577 927.537 1051.3 2.8
30  107.074 418.858 1420.92 1615.67 2.9
