Date/Time:  13.aug  16:30			
Temp  20.6					
Channelnumber  Centrod1	 Centroid2  Centroid3  Centroid4 Resolution 1332keVpeak
0	301.73	884.87	2982.19	3381.83	2.19
1	337.81	694.21	3305.41	3748.23	2.24
2	298.36	883.76	2985.26	3383.84	NAN
3	284.27	844.17	2866.1	3249.66	2.17
4	95.3456	390.631	1348.22	1528.64	2.40
5	274.6	806.51	2723.55	3087.33	2.15
6	251.69	763	2601.27	2948.98	2.16
7	246.6	750.7	2534.69	2872.88	2.09
8	242.82	740.87	2525.52	2864.96	2.20
9	262.51	783.6	2648.26	3002.4	2.23
10	257.98	760.287	2577.94	2922.54	2.10
11	275.11	815.35	2765.84	3138.46	NAN
12	252.26	757.917	2572.96	2914.51	2.10
13	257.65	770.882	2610.52	2960.62	2.17
14	278.16	818.76	2778.53	3150.95	2.26
15					
16	288.16	843.34	2853.9	3236.28	2.23
17	260.53	776.36	2631.7	2982.72	2.16
18	204.458	641.273	2175.16	2467.03	2.05
19	261.26	776.26	2635.66	2989.66	2.13
20	272.32	799.42	2718.21	3084.18	2.26
21	259.51	782.289	2658.35	3015.78	2.25
22	259.8	770.716	2618.72	2971.68	2.10
23	114.537	448.866	1528.57	1773.15	2.20
24	269.842	792.1	2692.41	3061.29	NAN
25	222.864	687.08	2323.57	2634.74	2.10
26	120.36	449.636	1528.01	1734.84	2.40
27	255.98	756.88	2572.18	2917.37	2.10
28	255.15	751.947	2536.04	2874.78	2.27
29	125.42	257.324	932.504	1058.55	2.70
30	111.288	425.864	1451	1646.81	3.40
