Date/Time:  15.aug  09:10			
Temp  20.3					
Channelnumber  Centrod1	 Centroid2  Centroid3  Centroid4 Resolution 1332keVpeak
0	298.40	879.01	2965.35	3361.93	2.17
1	336.87	982.88	3311.6	3754.4	2.29
2	300.75	890.04	3008.16	3409.23	2.14
3	284.28	842.33	2862.22	3246.01	2.13
4	113.44	387.023	1341.31	1519.54	2.80
5	263.7	788.23	2725.52	3011.13	2.13
6	249.06	761.12	2598.64	2945.99	2.17
7	248.17	752.66	2540.71	2879.52	2.12
8	243.1	738.69	2510.41	2847.5	2.21
9	261.36	781.79	2644.05	2997.63	2.17
10	261.38	770.26	2600.76	2948.18	2.09
11	289.89	842.24	2861.1	3246.59	2.08
12	258.06	756.1	2552.32	2891.91	2.06
13	256.33	769.79	2603.87	2952.18	2.19
14	275.47	809.79	2744.05	3111.83	2.18
15					
16	288.13	845.45	2860.03	3243.05	2.19
17	261.37	779.05	2640.11	2992.27	2.14
18	203.63	634.8	2168.4	2459.25	2.04
19	262.68	778.2	2642.91	2997.91	2.15
20	273.33	806.33	2741.21	3109.35	2.18
21	259.83	785.07	2662.13	3019.15	2.15
22	261.48	774.29	2629.44	2984.15	2.20
23	116.99	448.16	1522.36	1728.43	2.40
24	264.15	787.41	2871.34	3038.99	2.09
25	214.97	680.75	2289.07	2597.48	2.20
26	120.15	450.112	1531.75	1737.48	2.50
27	253.663	751.71	2559.73	2903.41	2.10
28	250.59	745.83	2510.42	2844.92	2.13
29	127.64	262.772	934.6	1060.54	3.20
30	105.38	426.048	1429.93	1624	3.20
