Date/Time:  27.jun  11:01			
Temp	NAN				
Channelnumber  Centrod1	 Centroid2  Centroid3  Centroid4 Resolution 1332keVpeak
0	299.0	877.87	2960.90	3356.84	2.15
1	335.96	978.76	3303.79	3746.26	2.25
2	293.65	872.92	2949.47	3342.67	2.14
3	280.23	835.28	2846.08	3227.82	2.12
4	90.3428	377.934	1295.27	1467.14	2.30
5	262.61	783.94	2641.57	2994.15	2.16
6	248.08	757	2583.89	2929.11	2.30
7	246.161	741.47	2505.35	2834.99	2.20
8	248	740.78	2522.07	2860.99	2.30
9	260.41	779.24	2633.01	2984.83	2.20
10	255.56	759.79	2566.97	2914.64	2.20
11	289.03	840.39	2854.07	3238.78	2.10
12	256.56	753.73	2543.58	2882.23	2.1
13	256.37	768.93	2603.22	2951.15	2.14
14	278.73	805.33	2724.74	3089.03	2.13
15					
16	287.36	840.67	2841.4	3221.58	2.19
17	260.27	775.51	2626.35	2975.11	??
18	206.98	639.772	2178.9	2473.59	2.20
19	259.35	769.26	2611.78	2962.53	2.17
20	271.39	800.59	2721.56	3087.65	2.19
21	253.35	770.99	2616.28	2967.41	2.18
22	259.31	769.62	2613.17	2963.98	2.12
23	117.43	436.898	1511.17	1715.58	2.30
24	266.3	784.89	2665.97	3023.93	2.14
25	213.215	678.44	2274.92	2579.19	2.20
26	119.6	443.49	1519.24	1721.58	2.40
27	252.02	746.42	2535.19	2875.14	2.12
28	250.06	743.97	2515.41	2851.52	2.16
29	128.8	258.082	927.052	1052.33	3.40
30	106.738	421.85	1424.25	1617.68	3.20
