Date/Time:  14.aug  09:40			
Temp  20.0					
Channelnumber  Centrod1	 Centroid2  Centroid3  Centroid4 Resolution 1332keVpeak
0	299.57	885.12	2983.32	3382.90	2.19
1	336.92	981.55	3310.62	3753.94	2.24
2	301.71	891.58	3015.28	3418.01	2.14
3	287.716	843.38	2865.48	3250.08	2.15
4	110.646	389.978	1345.7	1528.74	2.50
5	271.5	788.97	2663.83	3017.97	2.12
6	253.07	774.43	2649.63	3004.05	2.18
7	243.5	748.01	2530.51	2868.48	2.09
8	240.95	736.57	2512.1	2849.2	2.20
9	262.11	783.01	2648.69	3002.41	2.16
10	261.6	770.77	2601.87	2949.28	2.08
11	280.05	822.83	2789.62	3164.85	2.09
12	262.54	764.12	2576.62	2919.4	2.08
13	264.18	781.01	2630.95	2982.73	2.18
14	282.02	815.81	2760.38	3129.59	2.19
15					
16	283.15	831.33	2808.9	3185.24	2.23
17	261.26	778.65	2639.02	2991.23	2.14
18	202.28	645.745	2187.01	2480.19	2.05
19	262.14	778.78	2648.41	3004.08	2.11
20	273.08	804.37	2733.84	3101.65	2.16
21	255.74	776.59	2634.92	2988.02	2.14
22	261.23	774.01	2627.32	2979.87	2.12
23	119.76	450.011	1527.11	1732.78	2.40
24	267.136	780.28	2656.4	3014.18	2.11
25	218.84	672.49	2278.45	2581.87	2.20
26	119.9	446	1520.39	1724.35	2.50
27	255.66	756.42	2569.94	2916.38	2.20
28	253.95	750.28	2532.22	2875.86	2.30
29	123.132	260.89	935.3	1059.9	2.80
30	113.63	413.92	1431.35	1622.79	3.10
