Date/Time:  27.aug  09:14			
Temp  19.8					
Channelnumber  Centrod1	 Centroid2  Centroid3  Centroid4 Resolution 1332keVpeak
0	303.03	886.09	2985.448 3385.325 2.2
1	338.53	984.14	3321.24	3766.13	2.25
2	295.54	878.45	2970.02	3366.05	2.14
3	283.67	841.85	2858.75	3242.39	2.14
4	NAN	385.219	1326.92	1503.41	2.5
5	262.9	788.12	2658.91	3013.89	2.14
6	250.7	763.03	2602.17	2949.65	2.17
7	245.34	748.04	2527.12	2863.73	2.1
8	241.01	737.04	2511.5	2849.91	2.3
9	262.59	783.1	2645.11	2998.8	2.18
10	261.45	771.31	2605.13	2952.2	2.2
11	282.98	832.7	2821.28	3201.43	2.09
12	258	756.65	2552.21	2891.48	2.07
13	257.16	770.96	2607.78	2956.5	2.18
14	NAN	805.09	2722.51	3086.54	2.18
15					
16	287.33	843.14	2859.17	3241.98	2.2
17	265.27	780.99	2645.64	2998.42	2.19
18	205.66	642.68	2179.71	2471.99	2.08
19	266.44	787.89	2681.52	3041.94	2.14
20	270.85	801.94	2726.79	3093.42	2.14
21	255.94	776.14	2632.1	2990.2	2.3
22	261.83	776.72	2635.69	2989.58	2.09
23	NAN	447.65	1521.04	1725.33	2.3
24	264.68	785.01	2676.51	3036.83	2.08
25	212.87	663.137	2245.02	2546.86	NAN
26	NAN	446.11	1519.97	1724.21	2.5
27	253.02	751.56	2558.11	2901.6	2.07
28	253.6	749.57	2526.86	2864.09	2.14


