Date/Time:  14.aug  16:40			
Temp  20.1					
Channelnumber  Centrod1	 Centroid2  Centroid3  Centroid4 Resolution 1332keVpeak
0	301.95	884.15	2980.10	3379.38	2.17
1	337.16	981.92	3310.87	3754.37	2.27
2	301.21	890.73	3012.03	3414.06	2.13
3	284.52	842.84	2863.53	3247.63	2.13
4	108.5	385.84	1344.64	1524.35	2.50
5	270.83	788.38	2661.13	3014.61	2.12
6	252.55	774.01	2648.3	3002.67	2.16
7	244.7	746.66	2527.05	2863.84	2.07
8	240.61	735.69	2510.56	2847.46	2.17
9	261.92	782.74	2646.78	3000.6	2.14
10	263.84	770.67	2601.53	2949.35	2.12
11	281.09	825.52	2798.35	3174.79	2.05
12	262	762.58	2571.64	2914.19	2.03
13	263.59	779.88	2627.8	2978.88	2.19
14	281.39	813.65	2753.37	3121.8	2.23
15					
16	282.72	828.98	2801.61	3176.64	2.20
17	261.45	779.15	2640.16	2992.1	2.15
18	202.83	639.44	2178.94	2471.08	2.03
19	261.96	778.32	2646.23	3001.06	2.11
20	273.23	804.84	2736.2	3104.17	2.17
21	255.64	776.47	2634.4	2987.43	2.14
22	261.05	773.99	2627.77	2980.51	2.09
23	119.28	447.56	1522.65	1726.21	2.30
24	264.88	780.64	2658.31	3016.71	2.08
25	219.1	672.132	2273.85	2578.33	2.20
26	119.84	444.65	1521.29	1725.16	2.50
27	255.29	754.98	2564.95	2909.48	2.10
28	251.39	747.5	2529.02	2867.12	2.17
29	127.44	265.1	934.87	1059.55	3.30
30	104.114	422.1	1430.34	1623.6	3.10
