Date/Time:  28.aug  09:26			
Temp  19.8					
Channelnumber  Centrod1	 Centroid2  Centroid3  Centroid4 Resolution 1332keVpeak
0	301.9	885.874	2986.282 3385.5	2.2
1	344.95	996.68	3366.5	3811.5	NAN
2	293.61	875.58	2953.89	3347.26	2.15
3	283.62	841.78	2859.65	3242.93	2.14
4	NAN	385.26	1324.3	1499.5	2.6
5	NAN	790.36	2662.41	3016.46	2.1
6	250.63	762.14	2602	2949.89	2.15
7	245.8	752.5	2545	2883.44	2.09
8	245.22	744.29	2529.5	2872.66	2.3
9	262.78	783.46	2646.27	2999.44	2.17
10	257.73	764.48	2583.5	2931.11	2.2
11	290.96	847.57	2875.31	3263.32	2.12
12	261.16	761.87	2568.82	2910.67	2.07
13	258.86	770.68	2597.54	2944.36	2.15
14	NAN	804.89	2725.97	3090.9	2.14
15					
16	287.68	844.38	2858.78	3241.75	2.17
17	264.1	782.09	2646.25	2999.54	2.13
18	201.7	641	2160.5	2453.5	2.2
19	260.73	774.16	2627.62	2975.5	NAN
20	268.21	796.47	2707.68	3071.51	2.16
21	256.12	777.51	2636.5	2990.4	2.3
22	262.2	777.04	2635.35	2989.03	2.13
23	NAN	444.018	1521.68	1726.5	2.3
24	268.42	789.08	2681.77	3042.34	2.15
25	209.94	665.65	2248.35	2549.5	2.2
26	NAN	446.92	1533.42	1737.5	2.5
27	254.49	754	2560.2	2903.94	2.09
28	243.52	738.96	2514.48	2850.87	2.16

