Date/Time:  28.aug  16:22			
Temp  20.1					
Channelnumber  Centrod1	 Centroid2  Centroid3  Centroid4 Resolution 1332keVpeak
0	300.501	883.413	2978.741 3376.9	2.27
1	344.51	997.31	3368.26	3819.41	2.25
2	293.85	875.33	2953.28	3346.62	2.11
3	283.76	841.65	2858.41	3241.52	2.14
4	NAN	386.1	1326.42	1502.5	2.5
5	273.37	790.44	2662.6	3017.14	2.1
6	250.67	762.2	2601.4	2949.11	2.15
7	245.73	752.53	2545	2883.64	2.1
8	245.69	744.07	2530.53	2871.06	2.21
9	261.86	782.27	2643.8	2996.98	2.18
10	257.23	763.64	2583.46	2928.91	2.11
11	290.62	845.95	2870.11	3257.36	2.1
12	261.35	761.82	2568.99	2911.25	2.03
13	258.07	769.98	2596.6	2943.45	2.14
14	273.45	805.11	2726.85	3091.68	2.17
15					
16	287.62	845.19	2862.49	3246.04	2.19
17	262.34	781.14	2644.45	2997.47	2.14
18	200.68	633.38	2155.25	2443.5	2.2
19	260.58	773.87	2626.3	2978.42	2.14
20	268.06	795.74	2704.82	3068.63	2.15
21	255.69	776.99	2634.87	2988.19	2.19
22	NAN	776.2	2633.13	2986.31	2.14
23	NAN	447.77	1521.87	1728.5	2.3
24	267.87	788.47	2679.91	3040.5	2.1
25	215.21	666.56	2250.23	2550.5	2.1
26	NAN	435.7	1535.18	1739.5	2.5
27	254.23	753.68	2560.33	2907.5	2.2
28	244.74	738.89	2513.43	2849.8	2.12
29					
30					

